timestamp_ms,seq,angular_delta,qw,qx,qy,qz,px,py,pz,delta_dist,flags
0,0,0.000000,0.934647,-0.034252,0.093807,0.341266,0.0006,0.0016,-0.0007,0.000000,0x00
10,1,0.477801,0.934723,-0.034234,0.093826,0.341053,0.0084,0.0073,-0.0021,0.011945,0x00
20,2,0.477627,0.934800,-0.034217,0.093844,0.340840,0.0180,0.0157,-0.0059,0.011941,0x00
30,3,0.477454,0.934876,-0.034199,0.093863,0.340627,0.0273,0.0219,-0.0073,0.011936,0x00
40,4,0.477281,0.934953,-0.034182,0.093881,0.340413,0.0375,0.0287,-0.0098,0.011932,0x00
50,5,0.477108,0.935029,-0.034164,0.093899,0.340200,0.0435,0.0378,-0.0108,0.011928,0x00
60,6,0.476935,0.935106,-0.034147,0.093918,0.339986,0.0539,0.0450,-0.0129,0.011923,0x00
70,7,0.476762,0.935182,-0.034129,0.093936,0.339773,0.0630,0.0535,-0.0159,0.011919,0x00
80,8,0.476589,0.935259,-0.034112,0.093955,0.339559,0.0688,0.0601,-0.0201,0.011915,0x00
90,9,0.476417,0.935335,-0.034094,0.093973,0.339345,0.0798,0.0691,-0.0217,0.011910,0x00
100,10,0.476244,0.935411,-0.034076,0.093991,0.339131,0.0914,0.0737,-0.0248,0.011906,0x00
110,11,0.476072,0.935488,-0.034059,0.094010,0.338917,0.0993,0.0822,-0.0258,0.011902,0x00
120,12,0.475900,0.935564,-0.034041,0.094028,0.338703,0.1073,0.0899,-0.0288,0.011897,0x00
130,13,0.475728,0.935640,-0.034023,0.094046,0.338489,0.1166,0.0981,-0.0292,0.011893,0x00
140,14,0.475556,0.935717,-0.034006,0.094065,0.338275,0.1252,0.1046,-0.0337,0.011889,0x00
150,15,0.475384,0.935793,-0.033988,0.094083,0.338060,0.1358,0.1131,-0.0374,0.011885,0x00
160,16,0.475212,0.935869,-0.033970,0.094101,0.337846,0.1413,0.1190,-0.0377,0.011880,0x00
170,17,0.475041,0.935946,-0.033952,0.094119,0.337631,0.1522,0.1278,-0.0405,0.011876,0x00
180,18,0.474869,0.936022,-0.033935,0.094138,0.337416,0.1626,0.1355,-0.0426,0.011872,0x00
190,19,0.474698,0.936098,-0.033917,0.094156,0.337201,0.1713,0.1405,-0.0451,0.011867,0x00
200,20,0.474527,0.936174,-0.033899,0.094174,0.336986,0.1792,0.1501,-0.0491,0.011863,0x00
210,21,0.474356,0.936250,-0.033881,0.094192,0.336771,0.1878,0.1573,-0.0493,0.011859,0x00
220,22,0.474185,0.936327,-0.033863,0.094211,0.336556,0.1982,0.1651,-0.0522,0.011855,0x00
230,23,0.474014,0.936403,-0.033845,0.094229,0.336341,0.2067,0.1715,-0.0543,0.011850,0x00
240,24,0.473843,0.936479,-0.033828,0.094247,0.336126,0.2157,0.1791,-0.0564,0.011846,0x00
250,25,0.473673,0.936555,-0.033810,0.094265,0.335910,0.2249,0.1872,-0.0579,0.011842,0x00
260,26,0.473502,0.936631,-0.033792,0.094283,0.335695,0.2352,0.1946,-0.0620,0.011838,0x00
270,27,0.473332,0.936707,-0.033774,0.094301,0.335479,0.2423,0.2017,-0.0633,0.011833,0x00
280,28,0.473162,0.936783,-0.033756,0.094319,0.335263,0.2523,0.2069,-0.0647,0.011829,0x00
290,29,0.472992,0.936859,-0.033738,0.094338,0.335047,0.2616,0.2165,-0.0680,0.011825,0x00
300,30,0.472822,0.936935,-0.033720,0.094356,0.334831,0.2684,0.2233,-0.0703,0.011821,0x00
310,31,0.472652,0.937011,-0.033702,0.094374,0.334615,0.2783,0.2313,-0.0727,0.011816,0x00
320,32,0.472482,0.937087,-0.033684,0.094392,0.334399,0.2875,0.2387,-0.0767,0.011812,0x00
330,33,0.472313,0.937163,-0.033666,0.094410,0.334183,0.2964,0.2471,-0.0781,0.011808,0x00
340,34,0.472143,0.937239,-0.033647,0.094428,0.333966,0.3060,0.2517,-0.0804,0.011804,0x00
350,35,0.471974,0.937315,-0.033629,0.094446,0.333750,0.3128,0.2613,-0.0811,0.011799,0x00
360,36,0.471805,0.937391,-0.033611,0.094464,0.333533,0.3223,0.2684,-0.0834,0.011795,0x00
370,37,0.471636,0.937467,-0.033593,0.094482,0.333317,0.3314,0.2746,-0.0867,0.011791,0x00
380,38,0.471467,0.937543,-0.033575,0.094500,0.333100,0.3395,0.2819,-0.0877,0.011787,0x00
390,39,0.471298,0.937619,-0.033557,0.094518,0.332883,0.3488,0.2899,-0.0916,0.011782,0x00
400,40,0.471130,0.937695,-0.033538,0.094536,0.332666,0.3581,0.2965,-0.0927,0.011778,0x00
