timestamp_ms,seq,angular_delta,qw,qx,qy,qz,px,py,pz,delta_dist,flags
0,0,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0083,-0.0010,0.0031,0.008330,0x00
10,1,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0169,-0.0020,0.0035,0.008330,0x00
20,2,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0241,-0.0003,0.0072,0.008330,0x00
30,3,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0311,0.0009,0.0104,0.008330,0x00
40,4,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0400,0.0011,0.0124,0.008330,0x00
50,5,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0470,0.0004,0.0134,0.008330,0x00
60,6,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0567,-0.0000,0.0166,0.008330,0x00
70,7,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0631,0.0012,0.0190,0.008330,0x00
80,8,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0714,-0.0004,0.0221,0.008330,0x00
90,9,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0801,0.0004,0.0244,0.008330,0x00
100,10,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0899,-0.0004,0.0258,0.008330,0x00
110,11,0.333200,0.989392,0.000000,-0.145268,0.000000,0.0949,0.0006,0.0299,0.008330,0x00
120,12,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1036,-0.0008,0.0303,0.008330,0x00
130,13,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1123,0.0007,0.0341,0.008330,0x00
140,14,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1190,0.0002,0.0360,0.008330,0x00
150,15,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1279,0.0009,0.0385,0.008330,0x00
160,16,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1363,0.0001,0.0410,0.008330,0x00
170,17,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1442,-0.0015,0.0428,0.008330,0x00
180,18,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1511,-0.0006,0.0452,0.008330,0x00
190,19,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1611,-0.0009,0.0489,0.008330,0x00
200,20,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1659,-0.0003,0.0504,0.008330,0x00
210,21,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1761,0.0007,0.0535,0.008330,0x00
220,22,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1832,-0.0005,0.0559,0.008330,0x00
230,23,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1913,-0.0013,0.0563,0.008330,0x00
240,24,0.333200,0.989392,0.000000,-0.145268,0.000000,0.1985,0.0005,0.0600,0.008330,0x00
250,25,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2081,-0.0004,0.0624,0.008330,0x00
260,26,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2160,-0.0003,0.0651,0.008330,0x00
270,27,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2227,-0.0004,0.0667,0.008330,0x00
280,28,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2302,0.0005,0.0690,0.008330,0x00
290,29,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2394,0.0005,0.0723,0.008330,0x00
300,30,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2480,-0.0001,0.0738,0.008330,0x00
310,31,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2552,-0.0017,0.0752,0.008330,0x00
320,32,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2620,-0.0010,0.0794,0.008330,0x00
330,33,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2704,-0.0004,0.0827,0.008330,0x00
340,34,0.333200,0.989392,0.000000,-0.145268,0.000000,0.2789,0.0007,0.0829,0.008330,0x00
